id,revol_bal,total_pymnt,last_pymnt_d,last_pymnt_amnt
54734,28854,29330.3567,Oct-11,7392.08
55742,33623,8215.53706,Jun-11,228.48
57245,2584,1457.819531,Mar-13,42.73
57416,3511,13207.7633,Nov-12,398
58915,33667,5843.875367,Apr-11,162.63
59006,4740,3704.99765,Oct-12,111.23
61390,50807,4451.606058,Mar-12,1454.31
61419,3839,6474.6,Oct-12,194.02
62102,3198,3413.98528,Feb-11,2592.23
65426,24220,2755.2,Jun-11,131.22
65640,69909,3153.804764,May-11,87.83
66431,5630,3028.319048,Mar-12,89.75
66749,13846,12975.35746,Jan-12,370.44
66943,2183,3143.861603,Oct-11,2348.97
66964,5122,9128.550873,Jun-11,253.87
67503,6068,11280.38272,Feb-12,3064.45
68163,3021,3341.641503,Feb-13,97.75
68381,6282,7541.803814,Mar-11,424.12
68817,5394,11709.14052,Sep-10,23.15
68926,2211,2796.601136,Sep-11,77.78
69001,7586,17135.51023,Jul-12,1919.13
69124,8311,21027.94463,Apr-11,598.22
69168,591,6251.187621,Apr-11,184.81
69251,29797,6783.750468,May-11,189.36
69550,7248,15923.97483,Aug-14,2816.71
69828,5656,17208.17701,Aug-11,38.2
69924,21162,12225.41138,Apr-11,359.55
69990,16931,17438.40519,Feb-13,472.56
70348,4822,11340.97,May-10,3773.06
76597,14354,5725.016258,Jul-10,160.61
84918,1576,5200.462983,Apr-08,4268.52
87023,4175,9195.263334,Jun-10,256.59
88854,3164,5174.194867,Mar-08,0
90376,85607,5174.198551,Jan-08,0
90395,9698,5272.161128,Apr-08,0
90665,8847,9913.491822,Jul-10,281.94
90966,6053,5174.186842,Jan-08,4397.47
92187,7274,2822.969293,Jul-10,80.9
92402,66033,5698.603286,Jul-10,159.83
92440,3660,5593.631701,Jul-10,157.38
92507,216,5593.626092,Jul-10,156.29
92533,27185,5912.052998,Jul-10,165.17
92552,28329,5804.732505,Jul-10,162.07
92666,60568,5751.530533,Jul-10,161.55
92676,40934,5645.957239,Jul-10,157.31
93061,8379,5593.631701,Jul-10,157.02
93277,3660,3419.14485,Jul-10,97.45
94838,0,3498.858899,Jul-10,98.49
96350,15840,5912.052998,Jul-10,166.25
96844,6844,6012.561053,Jul-10,170.05
98276,1321,6069.341452,Jul-10,169.09
98339,4737,5779.031624,Apr-10,638.15
98982,23489,5725.016258,Jul-10,160.02
99009,2817,6421.743349,May-10,4.74
100214,1783,5593.634135,Aug-10,157.74
101579,3534,11662.89219,Jul-10,328.93
102376,2422,29269.95527,Jun-10,3.54
106079,2864,3942.013096,Mar-09,1798.54
106360,3075,3415.389823,Jul-10,96.4
107136,17214,13128.88362,Apr-08,9939.88
109355,1153,1425.37,Jul-10,39.45
111227,41674,20339.66,Feb-10,678.08
111307,43039,14449.28798,Jul-10,402.93
111917,3362,7395.962477,Aug-10,206.58
112216,11868,14361.46082,Mar-11,239.9
112245,2562,5593.638527,Aug-10,158.65
112323,1882,4097.157701,Sep-10,6.57
112496,1064,3579.662273,Aug-10,101.51
113156,6432,3952.171178,Aug-10,110.07
113179,4485,703.95,May-09,32.55
113194,16310,4063.318618,Aug-10,114.13
116040,20969,5778.087809,Aug-10,163.82
116582,22213,12260.31053,Aug-10,343.82
117056,2160,5592.073299,Jan-10,1221.57
117249,813,5495.826405,Jun-09,2233.27
117794,23678,7826.508179,Mar-08,6415.65
117863,11289,9199.512831,May-10,154.52
118523,56411,4054.35,Feb-09,225.37
118533,269,2086.63,Mar-10,1.4
118823,3408,2220.61,Mar-10,1.76
119043,6513,11652.75,Oct-09,1016.15
120215,330,4474.37586,Aug-10,119.24
120374,5967,2279.4299,Aug-10,64.27
120525,5533,4708.070922,Aug-10,134.78
121426,21050,3125.460949,Apr-08,2563.59
121530,21050,3125.435781,Apr-08,2563.55
121535,8155,3191.218575,Sep-10,89.8
121568,8155,4622.489229,Sep-10,129.76
121824,3678,3158.893661,May-08,2494.29
122070,2040,6446.047047,Apr-10,1055.1
122404,33074,13813.15438,Apr-08,11149.39
122637,1918,4495.838507,Sep-10,126.29
122718,22379,20042.61423,Apr-08,16177.15
123228,10296,12838.44,May-09,642.02
123230,2867,628.19,Mar-08,104.76
124436,12310,5675.572528,Sep-10,160.09
125671,61921,13819.081,Sep-10,385.26
